tki.txt Paz Eyl 6 11:48:01 +03 2020	652/1866	~0.34941050375133976420
tki Sal Eyl 15 16:37:13 +03 2020	1/1	1
tki Sal Eyl 15 16:41:08 +03 2020	0/0	Error 10002
tki.automorf.bin Sal Eyl 15 16:47:53 +03 2020	0/0	Error 10002
tki.txt Sal Eyl 15 16:51:41 +03 2020	0/0	Error 10002
tki.txt Sal Eyl 15 16:52:25 +03 2020	663/1866	~0.35530546623794212219
tki.txt Sal Eyl 22 12:32:19 +03 2020	668/1866	~0.35798499464094319400
tki.txt Paz Eyl 27 14:56:23 +03 2020	672/1866	~0.36012861736334405145
tki.txt Paz Eki 18 15:19:28 +03 2020	672/1866	~0.36012861736334405145
tki.txt Pzt Eki 19 01:00:13 +03 2020	672/1866	~0.36012861736334405145
tki.txt Pzt Eki 26 01:58:55 +03 2020	672/1866	~0.36012861736334405145
tki.txt Pzt Eki 26 15:35:15 +03 2020	672/1866	~0.36012861736334405145
tki.txt Çrş Eki 28 15:38:18 +03 2020	672/1866	~0.36012861736334405145
tki.txt Prş Eki 29 14:35:51 +03 2020	678/1866	~0.36334405144694533762
tki.txt Cts Eki 31 23:00:57 +03 2020	678/1866	~0.36334405144694533762
